Gene
TAF9B
BRCA2
BCL2L12
ube2n-ube2v2_human
ING4
MMS22L
RAD51AP1
E2F1
RHNO1
INTS7
NPM1
KDM4D
EID3
SETMAR
PHLDA3
SHISA5
MRPS35
MRPS26
RMI1
EXO5
EXD2
CCAR2
FANCF
INIP
GGN
FANCB
MUM1
FANCE
9-1-1-clamp_human
KMT5A
SMYD2
TERF2
ZBTB32
ANKLE1
H2AFX
ATR
NPAS2
RNASEH2A
BRSK1
CCNO
SPATA22
PCLAF
RPAIN
SWSAP1
ATP23
SLF2
RGCC
SMC6
PNKP
SNAI1
ASCC3
NACC2
HNRNPK
TAF9
UBC
CNOT7
CASP14
EP300
IER3
CEBPG
THOC1
THOC5
MND1
PMS2P11
PMS2P2
PMS2P1
PMS2P5
FAAP20
SUMO3
FANCM
RPS6KA6
SENP2
ING2
KLHL15
MAGEF1
CUL4B
CDKN1B
COPS3
COPS4
ATF2
ASCC2
RMI2
ASCC1
MEIOB
TP53BP1
RFC1
TERF2IP
EYA4
EYA3
TEX15
USP51
PPP4C
PPP4R2
FIGN
AURKA
CDC14C
RAD17
CD44
FTO
TIMELESS
FOXO4
RIF1
ku70_80_human
ENDOV
PML
APLF
RNF8
RNASEH2B
FZR1
CDC14B
PARP4
DYRK1A
PTTG1IP
SPRED2
TONSL
FAN1
TREX1
PALB2
MDM2
ACTR5
BRCA1
TIPRL
CDK1
RNF168
SMC1A
PIAS4
BATF
ZNF830
OTUB1
TRIP12
GTF2H5
MRPS9
NDRG1
TMEM109
MRPS11
APTX
FEM1B
RAD23B
TP53
AP5Z1
TREX2
AP5S1
ZFYVE26
PARG
NABP1
PMS2P3
TEX12
NHEJ1
INTS3
USP10
PRPF19
MSX1
HIST3H3
CHAF1B
TP73
RPS3
CHCHD6
HPF1
CCDC13
ACTL6A
CDKN2D
ACD
TRIM28
CRY1
NUPR1
SMARCAD1
PARP1
SYCP1
SIX6OS1
FBXO6
SMC5
TFDP3
USP43
UBE2L6
INO80D
ACKR3
USP47
TAOK3
TAOK1
SKIL
CETN2
DOT1L
HIST3H2A
PAXIP1
KAT5
SP100
WDR48
AQR
TMEM189-UBE2V1
UBE2NL
UVSSA
FBXO4
SHPRH
TP63
SLX4
CDC45
HINFP
BRIP1
FANCG
HELQ
PAPD7
EMSY
FBXO31
GIGYF2
ANKRD1
CCNB1
CENPX
CTC1
CENPS
TICRR
ATRX
RAD1
RNF138
DEK
PMAIP1
SPRED1
RBX1
HMGA1
NTHL1
UBA52
RPS27A
UBB
IFI16
TFAP4
TWIST1
TFPT
SSRP1
NFRKB
GTF2H2C
PDS5A
SNAI2
SMG1
DDX39B
MIF
NABP2
SPO11
ZBTB4
USP3
ASF1A
HIPK2
PDS5B
ZBTB40
NOP53
CDK5RAP3
CBX8
BCLAF1
ZNF365
COPS2
INO80B
ALKBH5
ACTR8
INO80C
SPRTN
INO80E
TTC5
MAD2L2
CDK9
SIRT1
EYA2
UBE2V2
GTF2H4
DYRK2
NEK1
SUPT16H
ZBTB38
BID
PARP9
NSD2
pp4_human-2b
DDX5
BCL2A1
CIDEB
MOAP1
BCL2L2
GTF2H3
BACH1
UHRF1
ISY1
CEP164
FANCL
MARF1
UBE2T
USP45
HMGN1
KDM2A
UBA7
CDCA5
MAEL
CLOCK
UBR5
MYO6
NUDT16
PRKCG
UBE2N
TAOK2
NUCKS1
SLX1A
MC1R
FNIP2
wich_human
BAX
DHX9
MYC
SMARCB1
GTF2H1
GTF2H2
TRIM32
EPC2
RBBP6
WDR33
TIGAR
TCEA1
ZMAT3
SPATA18
CDKN2AIP
ALKBH7
MACROD2
GNL1
ZDHHC16
CASP9
MACROD1
WAC
PLK1
APBB1
EYA1
GPS1
MAPK12
NEK4
COPS8
CDC7
NCOA6
SETD2
UBE2B
DTX3L
BCL3
HSF1
YY1
RAD21L1
KIF22
XAB2
NSMCE3
REC8
NUPR2
TAF1
CCND1
HIST1H4A
SFPQ
SMC3
UBE2V1
COPS5
SLC30A9
TRRAP
RRM2B
FANCD2
HIPK1
SETX
NONO
USP7
CD74
PSMD10
BCL2L1
CXCL12
HMGB2
STK3
ATMIN
MORF4L1
MORF4L2
PAGR1
FANCA
PHF1
FIGNL1
MAP3K14
MCTS1
HERC2
UBE2W
UBE2U
BCCIP
FANCC
SUMO2
CCNH
APAF1
SESN2
TOPORS
NFATC2
FOXO3
BCL2L10
PRMT6
ASH2L
RCHY1
NPLOC4
RAD23A
JMY
UBE2E2
TLK1
BRAT1
UBA6
RUVBL1
MCL1
URS000039ED8D_9606
MTA1
TNP1
NFATC4
ATAD5
UPF1
RUVBL2
CLU
RBBP5
PPIE
IRF7
SIRT6
SFRP2
DDX1
TRIM25
NKX3-1
SUV39H1
RAD21
ZBTB1
AATF
UVRAG
NUDT1
NSMCE2
SETD7
HUWE1
CCDC155
MEN1
STK4
MNAT1
CDK7
HMGB1
BCL6
BARD1
AXIN2
SNW1
SGK1
IRF3
BAG6
MCRS1
RBM14
UBE2A
DDX39A
EGLN3
BAZ1B
MEIOC
CGAS
PEA15
MAP3K20
NUAK1
FBXO45
UBA1
STXBP4
CACUL1
CUL5
IMMP2L
CDK3
MICA
PTTG1
UCHL5
BRD4
NEDD4
TNFRSF1A
TNFRSF1B
IKBKE
UBE2D3
ISG15
UFD1
RNF111
UBE2I
MAP2K6
NIPBL
EIF2AK4
YAP1
CCNK
ATXN3
TRIP13
PSME4
URS0000170CF4_9606
USP16
PPP5C
MNDA
MAPK14
FOXO1
MASTL
TLK2
FMN2
TANK
SPDYA
CTLA4
ABL1
PYCARD
HTRA2
BOK
MAPT
IKBKG
MAPK3
HMOX1
SIRT4
CSNK1E
CHRNA4
EGFR
FGF10
WNT1
SUMO1
XIAP
PTPN11
TRAF6
VCP
PSMD14
FMR1
GRB2
BCL2L11
BAK1
EPHA2
STUB1
PIK3R1
MAPK1
CASP3
PRKCD
PPP1R15A
VAV3
CBL
CIB1
TNF
MTOR
BAD
MAPKAPK2
METTL3
PARK7
PSEN1
BCL2
AKT1
ZC3H12A
STK11
APC
LYN
