"","x"
"1","A1BG|1"
"528","OSGIN2|734"
"529","C9|735"
"530","C11orf2|738"
"531","MRPL49|740"
"532","ZNHIT2|741"
"533","MPPED2|744"
"534","C11orf9|745"
"535","C11orf10|746"
"536","DAGLA|747"
"537","C16orf3|750"
"538","FMNL1|752"
"539","C18orf1|753"
"540","PTTG1IP|754"
"541","C21orf2|755"
"542","TMEM50B|757"
"543","MPPED1|758"
"544","CA1|759"
"545","CA2|760"
"546","CA3|761"
"547","CA4|762"
"548","CA5A|763"
"549","CA6|765"
"550","CA7|766"
"551","CA8|767"
"552","CA9|768"
"553","CA11|770"
"554","CA12|771"
"555","CACNA1A|773"
"556","CACNA1B|774"
"557","CACNA1C|775"
"558","CACNA1D|776"
"559","CACNA1E|777"
"560","CACNA1F|778"
"561","CACNA1S|779"
"562","DDR1|780"
"563","CACNA2D1|781"
"564","CACNB1|782"
"565","CACNB2|783"
"566","CACNB3|784"
"567","CACNB4|785"
"568","CACNG1|786"
"569","SLC25A20|788"
"570","CAD|790"
"571","CALB1|793"
"572","CALB2|794"
"573","S100G|795"
"574","CALCA|796"
"575","CALCB|797"
"576","CALCR|799"
"577","CALD1|800"
"578","CALM1|801"
"579","CALM1|801"
"580","CALM1|801"
"581","CALM2|805"
"582","CALM2|805"
"583","CALM2|805"
"584","CALM3|808"
"585","CALM3|808"
"586","CALM3|808"
"587","CALML3|810"
"588","CALR|811"
"589","CALU|813"
"590","CAMK4|814"
"591","CAMK2A|815"
"592","CAMK2B|816"
"593","CAMK2D|817"
"594","CAMK2G|818"
"595","CAMLG|819"
"596","CAMP|820"
"597","CANX|821"
"598","CAPG|822"
"599","CAPN1|823"
"600","CAPN2|824"
"601","CAPN3|825"
"602","CAPNS1|826"
"603","CAPN6|827"
"604","CAPS|828"
"605","CAPZA1|829"
"606","CAPZA2|830"
"607","CAST|831"
"608","CAPZB|832"
"609","CARS|833"
"610","CASP1|834"
"611","CASP2|835"
"612","CASP3|836"
"613","CASP4|837"
"614","CASP5|838"
"615","CASP6|839"
"616","CASP7|840"
"617","CASP8|841"
"618","CASP9|842"
"619","CASP10|843"
"620","CASQ1|844"
"621","CASQ2|845"
"622","CASR|846"
"623","CAT|847"
"624","CAV1|857"
"625","CAV2|858"
"626","CAV3|859"
"627","RUNX2|860"
"628","RUNX1|861"
"629","RUNX1T1|862"
"630","CBFA2T3|863"
"631","RUNX3|864"
"632","CBFB|865"
"633","SERPINA6|866"
"634","CBL|867"
"635","CBLB|868"
"636","CBLN1|869"
"637","SERPINH1|871"
"638","CBR1|873"
"639","CBR3|874"
"640","CBS|875"
"641","CCIN|881"
"642","CCBL1|883"
"643","CCK|885"
"644","CCKAR|886"
"645","CCKBR|887"
"646","KRIT1|889"
"647","CCNA2|890"
"648","CCNB1|891"
"649","CCNC|892"
"650","CCND2|894"
"651","CCND3|896"
"652","CCNE1|898"
"653","CCNF|899"
"654","CCNG1|900"
"655","CCNG2|901"
"656","CCNH|902"
"657","CCNT1|904"
"658","CCNT2|905"
"659","CCT6A|908"
"660","CD1A|909"
"661","CD1B|910"
"662","CD1C|911"
"663","CD1D|912"
"664","CD1E|913"
"665","CD2|914"
"666","CD3D|915"
"667","CD3E|916"
"668","CD3G|917"
"669","CD247|919"
"670","CD4|920"
"671","CD5|921"
"672","CD5L|922"
"673","CD6|923"
"674","CD7|924"
"675","CD8A|925"
"676","CD8B|926"
"677","CD8B|926"
"678","CD9|928"
"679","CD14|929"
"680","CD19|930"
"681","MS4A1|931"
"682","MS4A3|932"
"683","CD22|933"
"684","CD27|939"
"685","CD28|940"
"686","CD80|941"
"687","CD86|942"
"688","TNFRSF8|943"
"689","TNFSF8|944"
"690","CD33|945"
"691","SIGLEC6|946"
"692","CD34|947"
"693","CD36|948"
"694","SCARB1|949"
"695","SCARB2|950"
"696","CD37|951"
"697","CD38|952"
"698","ENTPD1|953"
"699","ENTPD2|954"
"700","ENTPD6|955"
"701","ENTPD3|956"
"702","ENTPD5|957"
"703","CD40|958"
"704","CD40LG|959"
"705","CD44|960"
"706","CD47|961"
"707","CD48|962"
"708","CD53|963"
"709","CD58|965"
"710","CD59|966"
"711","CD63|967"
"712","CD68|968"
"713","CD69|969"
"714","CD70|970"
"715","CD72|971"
"716","CD74|972"
"717","CD79A|973"
"718","CD79B|974"
"719","CD81|975"
"720","CD97|976"
"721","CD151|977"
"722","CDA|978"
"723","CDK1|983"
"724","CDK11B|984"
"725","CDK11B|984"
"726","LRBA|987"
"727","CDC5L|988"
"728","SEPT7|989"
"729","CDC6|990"
"730","CDC20|991"
"731","CDC25A|993"
"732","CDC25B|994"
"733","CDC25C|995"
"734","CDC27|996"
"735","CDC34|997"
